Trade Date,Index Value,High,Low,Total Market Value,Dividend Market Value
2018-04-09,1056.24,1077.74,1055.79,2317754411.0,0.0
2018-04-06,1053.71,1076.6,1047.44,2312191112.0,0.0
2018-04-05,1079.69,1089.69,1074.19,2369196935.0,0.0
2018-04-04,1081.33,1083.93,1049.26,2372795798.0,0.0
2018-04-03,1066.26,1068.13,1052.65,2339728945.0,0.0
2018-04-02,1054.52,1083.79,1046.61,2313962417.0,0.0
2018-03-29,1082.31,1091.25,1068.61,2374957993.0,0.0
2018-03-28,1067.05,1079.74,1062.93,2341466220.0,469704.0
2018-03-27,1070.28,1101.4,1064.86,2349021804.0,0.0
2018-03-26,1092.88,1093.62,1071.26,2398631846.0,0.0
2018-03-23,1066.43,1100.18,1066.43,2340564908.0,0.0
2018-03-22,1094.6,1114.5,1094.42,2402391268.0,0.0
2018-03-21,1120.67,1131.11,1117.09,2459624928.0,0.0
2018-03-20,1118.35,1125.15,1115.52,2454530793.0,1048427.0
2018-03-19,1120.55,1131.89,1109.53,2460396861.0,0.0
2018-03-16,1138.58,1144.04,1135.9,2691251194.0,296208.0
2018-03-15,1133.1,1139.73,1130.25,2678581669.0,0.0
2018-03-14,1135.43,1141.38,1130.66,2684085982.0,0.0
2018-03-13,1137.71,1158.62,1136.12,2689492632.0,0.0
2018-03-12,1150.28,1152.26,1143.36,2719202252.0,0.0
2018-03-09,1145.45,1146.11,1131.48,2707777061.0,0.0
2018-03-08,1125.56,1128.49,1121.38,2660773317.0,0.0
2018-03-07,1119.56,1122.32,1110.7,2646567714.0,248180.0
2018-03-06,1124.87,1124.89,1113.09,2659384992.0,268356.0
2018-03-05,1110.71,1113.33,1091.01,2626175556.0,0.0
2018-03-02,1097.13,1098.81,1077.28,2594058248.0,0.0
2018-03-01,1086.98,1104.12,1076.88,2570054054.0,0.0
2018-02-28,1094.05,1111.59,1094.05,2586768646.0,800610.0
2018-02-27,1099.46,1121.44,1099.43,2600378649.0,0.0
2018-02-26,1116.15,1116.61,1105.8,2639850785.0,0.0
2018-02-23,1106.65,1106.68,1092.26,2617378864.0,0.0
2018-02-22,1090.04,1101.13,1087.88,2578091300.0,0.0
2018-02-21,1091.48,1109.57,1091.3,2581506499.0,1353410.0
2018-02-20,1098.05,1107.85,1093.51,2598392481.0,418444.0
2018-02-16,1096.84,1104.87,1094.32,2595953979.0,0.0
2018-02-15,1095.77,1095.84,1078.13,2593414505.0,0.0
2018-02-14,1084.26,1086.64,1058.33,2566175637.0,558554.0
2018-02-13,1065.15,1067.63,1054.92,2521511876.0,0.0
2018-02-12,1066.66,1074.75,1057.22,2525080216.0,0.0
2018-02-09,1055.36,1062.72,1020.13,2498336334.0,0.0
2018-02-08,1045.27,1086.85,1045.11,2474429965.0,0.0
2018-02-07,1083.95,1103.59,1082.86,2566006181.0,0.0
2018-02-06,1095.44,1097.84,1057.45,2593208039.0,719699.0
2018-02-05,1076.05,1119.91,1076.05,2548011512.0,0.0
2018-02-02,1113.01,1128.76,1113.01,2635528993.0,0.0
2018-02-01,1136.85,1144.72,1126.73,2691989293.0,0.0
2018-01-31,1136.45,1144.95,1131.81,2691027175.0,605932.0
2018-01-30,1132.2,1141.63,1130.4,2681585297.0,0.0
2018-01-29,1147.47,1155.82,1137.14,2717739969.0,0.0
2018-01-26,1146.4,1146.4,1133.42,2715215812.0,0.0
2018-01-25,1128.07,1148.82,1127.09,2671794227.0,0.0
2018-01-24,1135.6,1147.24,1130.41,2689634790.0,0.0
2018-01-23,1141.45,1141.99,1133.66,2703472853.0,0.0
2018-01-22,1135.91,1135.91,1125.69,2690368030.0,0.0
2018-01-19,1128.47,1128.47,1117.25,2672730841.0,0.0
2018-01-18,1120.23,1121.71,1114.33,2653217784.0,0.0
2018-01-17,1120.15,1122.87,1110.25,2653043402.0,0.0
2018-01-16,1105.32,1122.3,1102.67,2617911622.0,0.0
2018-01-12,1114.71,1115.81,1106.54,2640154289.0,0.0
2018-01-11,1104.0,1104.06,1094.62,2614774305.0,0.0
2018-01-10,1091.35,1092.5,1086.03,2584819546.0,0.0
2018-01-09,1096.47,1101.71,1094.46,2596942881.0,0.0
2018-01-08,1099.6,1100.79,1093.93,2604358045.0,0.0
2018-01-05,1096.0,1096.96,1087.97,2595847146.0,0.0
2018-01-04,1084.43,1087.39,1078.32,2568433272.0,0.0
2018-01-03,1079.29,1079.99,1072.64,2556269491.0,0.0
2018-01-02,1070.41,1070.87,1056.22,2535237147.0,0.0
